FID,LAD19CD,LAD19NM,LAD19NMW,CIS20CD
151,E07000128,Wyre,NA,J06000108
152,E07000129,Blaby,NA,J06000140
153,E07000130,Charnwood,NA,J06000140
154,E07000131,Harborough,NA,J06000140
155,E07000132,Hinckley and Bosworth,NA,J06000140
156,E07000133,Melton,NA,J06000140
157,E07000134,North West Leicestershire,NA,J06000140
158,E07000135,Oadby and Wigston,NA,J06000140
159,E07000136,Boston,NA,J06000136
160,E07000137,East Lindsey,NA,J06000136
161,E07000138,Lincoln,NA,J06000136
162,E07000139,North Kesteven,NA,J06000136
163,E07000207,Elmbridge,NA,J06000198
164,S12000006,Dumfries and Galloway,NA,J06000228
165,E07000140,South Holland,NA,J06000136
166,E07000141,South Kesteven,NA,J06000136
167,E07000142,West Lindsey,NA,J06000136
168,E07000143,Breckland,NA,J06000155
169,E07000144,Broadland,NA,J06000155
170,E07000145,Great Yarmouth,NA,J06000155
171,E07000146,King's Lynn and West Norfolk,NA,J06000155
172,E07000147,North Norfolk,NA,J06000155
173,E07000148,Norwich,NA,J06000155
174,E07000149,South Norfolk,NA,J06000155
175,E07000150,Corby,NA,J06000142
176,E07000151,Daventry,NA,J06000142
177,E07000152,East Northamptonshire,NA,J06000142
178,E07000153,Kettering,NA,J06000142
179,E07000154,Northampton,NA,J06000142
180,E07000155,South Northamptonshire,NA,J06000142
181,E07000156,Wellingborough,NA,J06000142
182,E07000163,Craven,NA,J06000123
183,E07000164,Hambleton,NA,J06000123
184,E07000165,Harrogate,NA,J06000123
185,E07000166,Richmondshire,NA,J06000123
186,E07000167,Ryedale,NA,J06000123
187,E07000168,Scarborough,NA,J06000123
188,E07000169,Selby,NA,J06000123
189,E07000170,Ashfield,NA,J06000135
190,E07000171,Bassetlaw,NA,J06000135
191,E07000172,Broxtowe,NA,J06000135
192,E07000173,Gedling,NA,J06000135
193,E07000174,Mansfield,NA,J06000135
194,E07000175,Newark and Sherwood,NA,J06000135
195,E07000176,Rushcliffe,NA,J06000135
196,E07000177,Cherwell,NA,J06000193
197,E07000178,Oxford,NA,J06000193
198,E07000179,South Oxfordshire,NA,J06000193
199,E07000180,Vale of White Horse,NA,J06000193
200,E07000181,West Oxfordshire,NA,J06000193
201,E07000187,Mendip,NA,J06000211
202,E07000188,Sedgemoor,NA,J06000211
203,E07000189,South Somerset,NA,J06000211
204,E07000192,Cannock Chase,NA,J06000144
205,E07000193,East Staffordshire,NA,J06000144
206,E07000194,Lichfield,NA,J06000144
207,E07000195,Newcastle-under-Lyme,NA,J06000144
208,E07000196,South Staffordshire,NA,J06000144
209,E07000197,Stafford,NA,J06000143
210,E07000198,Staffordshire Moorlands,NA,J06000144
211,E07000199,Tamworth,NA,J06000144
212,E07000200,Babergh,NA,J06000159
213,E07000202,Ipswich,NA,J06000159
214,E07000203,Mid Suffolk,NA,J06000159
215,S12000008,East Ayrshire,NA,J06000228
216,S12000010,East Lothian,NA,J06000226
217,S12000011,East Renfrewshire,NA,J06000225
218,S12000013,Na h-Eileanan Siar,NA,J06000223
219,S12000014,Falkirk,NA,J06000224
220,S12000017,Highland,NA,J06000223
221,S12000018,Inverclyde,NA,J06000225
222,S12000019,Midlothian,NA,J06000226
223,S12000020,Moray,NA,J06000223
224,S12000021,North Ayrshire,NA,J06000228
225,S12000023,Orkney Islands,NA,J06000223
226,S12000026,Scottish Borders,NA,J06000228
227,S12000027,Shetland Islands,NA,J06000223
228,S12000028,South Ayrshire,NA,J06000228
229,S12000029,South Lanarkshire,NA,J06000227
230,S12000030,Stirling,NA,J06000224
231,S12000033,Aberdeen City,NA,J06000223
232,S12000034,Aberdeenshire,NA,J06000223
233,S12000035,Argyll and Bute,NA,J06000223
234,S12000036,City of Edinburgh,NA,J06000226
235,S12000038,Renfrewshire,NA,J06000225
236,S12000039,West Dunbartonshire,NA,J06000225
237,S12000040,West Lothian,NA,J06000226
238,S12000041,Angus,NA,J06000224
239,S12000042,Dundee City,NA,J06000224
240,S12000045,East Dunbartonshire,NA,J06000225
241,S12000047,Fife,NA,J06000224
242,S12000048,Perth and Kinross,NA,J06000224
243,S12000049,Glasgow City,NA,J06000225
244,S12000050,North Lanarkshire,NA,J06000227
245,W06000001,Isle of Anglesey,Ynys M̫n,J06000217
246,W06000002,Gwynedd,Gwynedd,J06000217
247,W06000003,Conwy,Conwy,J06000217
248,W06000004,Denbighshire,Sir Ddinbych,J06000217
249,W06000005,Flintshire,Sir y Fflint,J06000217
250,W06000006,Wrexham,Wrecsam,J06000217
251,W06000008,Ceredigion,Ceredigion,J06000218
252,W06000009,Pembrokeshire,Sir Benfro,J06000218
253,W06000010,Carmarthenshire,Sir Gaerfyrddin,J06000218
254,W06000011,Swansea,Abertawe,J06000220
255,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,J06000220
256,W06000013,Bridgend,Pen-y-bont ar Ogwr,J06000221
257,W06000014,Vale of Glamorgan,Bro Morgannwg,J06000222
258,W06000015,Cardiff,Caerdydd,J06000222
259,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,J06000221
260,W06000018,Caerphilly,Caerffili,J06000219
261,W06000019,Blaenau Gwent,Blaenau Gwent,J06000219
